experiment,seed,RMSE,MAE,MAPE,label
1,50494,5010.3958555717045,4924.59435286494,22.43946462647541,Hybrid
2,99346,1333.663546059479,1186.520356706312,5.714049977910471,Hybrid
3,55125,4567.567000311574,4375.3210115286065,19.63943148594854,Hybrid
4,5306,5390.457029778316,5204.136255342575,23.43309822030376,Hybrid
5,33936,3838.4186378248473,3636.67918981621,16.24057128645103,Hybrid
6,67013,3274.0802801789628,2939.8990733681712,12.902580668718455,Hybrid
7,63691,2134.135867194474,1768.1481472522548,7.57808767009792,Hybrid
8,53075,3244.937931842597,2896.8917894535,12.688410449799436,Hybrid
9,39755,2958.289349169595,2532.4025005987232,12.641017941315875,Hybrid
10,62468,3040.0525002800164,2640.4134297481305,11.471207579658962,Hybrid
11,46930,1989.760794073737,1524.3478337434017,7.776661998286337,Hybrid
12,76465,4830.880682634574,4523.186959607369,20.111634075989198,Hybrid
13,28631,3728.7555271856563,3411.612612635733,15.052005648781522,Hybrid
14,66150,5245.178229246399,5041.229787887157,22.671748210759645,Hybrid
15,18254,3576.4451606135895,3229.8755561039193,14.183593432783312,Hybrid
16,36941,3266.770150695159,2846.5715206520936,12.347686350021908,Hybrid
17,18316,2284.510799440268,2016.3036803188377,8.85742437162956,Hybrid
18,99064,4272.824227527371,4037.5841287634603,18.039157715674474,Hybrid
19,12429,3194.6622063601612,2739.411791676138,11.824010598890036,Hybrid
20,81050,1063.0753622400382,920.7965407144866,4.475596998894693,Hybrid
21,32834,4516.878001698266,4296.0507172763,19.213887514186283,Hybrid
22,69804,1712.727606557432,1320.5441073286024,6.723067729561903,Hybrid
23,92428,4010.8133462608694,3723.6030902429507,16.51618801994925,Hybrid
24,78892,1470.8703456268227,1255.7294785817774,5.791805490653399,Hybrid
25,19262,4355.827051229031,4155.094221189334,18.621664701387143,Hybrid
26,40651,1673.6862987425118,1494.350789455743,6.707772241915462,Hybrid
27,12945,1657.3180159110548,1467.9488319561076,6.509233097142408,Hybrid
28,95660,3537.7552682053993,3201.222979470945,14.068116151448928,Hybrid
29,9665,4171.288205956386,3897.0301350061113,17.316261922220416,Hybrid
30,89651,4897.834716850408,4741.543542961113,21.38387759237634,Hybrid
31,43279,2596.4129575102725,2100.0329888941033,8.955844113183346,Hybrid
32,61884,4211.602924355075,3872.586671610389,17.08893705968559,Hybrid
33,73375,3261.4731925350534,2921.067428856016,12.802129498664586,Hybrid
34,13199,6249.189308826585,6056.006510227047,27.3117205042354,Hybrid
35,46372,4304.592121790859,4076.4911743865036,18.205924828247536,Hybrid
36,56907,4751.070664170505,4541.181386238586,20.35817236672744,Hybrid
37,41444,4315.04429359166,4176.657610301077,18.843511978846507,Hybrid
38,80070,2525.6948306594813,2097.709228573147,8.990062001697249,Hybrid
39,83941,4280.976020679582,3913.378930491975,17.25523521339448,Hybrid
40,26801,2275.3046203842546,1858.8250884456588,7.940969231081048,Hybrid
41,72420,3694.874575272567,3314.9654999284226,14.520750745545666,Hybrid
42,62522,1879.1970495662083,1532.5516950931865,6.548135735622125,Hybrid
43,58024,4905.1016315227125,4649.711466270528,20.771852236731483,Hybrid
44,68334,3882.4294582726193,3689.3052494098633,16.542183398454444,Hybrid
45,34143,7483.563648594319,7331.538313537514,33.30508136250906,Hybrid
46,8163,3680.1929251658685,3433.489185985684,15.246843504891238,Hybrid
47,71919,1871.9635932287297,1520.7580027362048,6.509067157582478,Hybrid
48,1840,2237.804855128181,1862.7426937358798,9.337838631877542,Hybrid
49,12225,4384.865191178082,4101.623909545758,18.225989982951255,Hybrid
50,94333,3116.601253647583,2893.7028112271187,12.838138920049898,Hybrid
